Position X,Position Y,Position Z,Unit,Category,Collection,TimePointID,TrackID,ID
149.74494474749886,387.0876623789683,91.98837867449107,um,Spot,Position,17,6,xxx
151.4891284562654,386.9630089394609,92.49835534772964,um,Spot,Position,18,6,xxx
153.86455425555056,386.66319456167275,93.22832992840014,um,Spot,Position,19,6,xxx
155.5975289725063,386.8747685524315,95.23617583709483,um,Spot,Position,20,6,xxx
161.2672019295115,393.0350835615206,98.72676918976136,um,Spot,Position,21,6,xxx
161.0738396134401,393.38148733537264,98.39127488827044,um,Spot,Position,22,6,xxx
159.52834972153985,392.99382011544986,97.16222973367255,um,Spot,Position,23,6,xxx
156.71761980785934,390.045045302529,95.13046184132043,um,Spot,Position,24,6,xxx
156.95028793373277,387.7409301746232,94.69395802753988,um,Spot,Position,25,6,xxx
158.64600237321392,383.6235186619504,93.73476988932788,um,Spot,Position,26,6,xxx
160.72655258318008,380.19317808476035,91.8243734450563,um,Spot,Position,27,6,xxx
166.27062472751135,382.9464759269148,81.35310224624845,um,Spot,Position,28,6,xxx
167.7430138509947,384.067896983491,78.23828178414774,um,Spot,Position,29,6,xxx
167.18177101123172,383.9545139181629,79.50007977404135,um,Spot,Position,30,6,xxx
166.47277415509225,381.9687291322951,79.95803613130683,um,Spot,Position,31,6,xxx
162.4446330066668,377.5725853960135,79.46462062466155,um,Spot,Position,32,6,xxx
160.03105398600965,376.4823746733576,79.58808478219198,um,Spot,Position,33,6,xxx
157.81250552311826,375.268048423111,79.6907150257981,um,Spot,Position,34,6,xxx
155.5489317008643,375.7320540427885,80.68438383559896,um,Spot,Position,35,6,xxx
152.29260204807693,374.05163582390594,80.65501856453685,um,Spot,Position,36,6,xxx
146.15356528208727,370.95201529716826,80.72903995943454,um,Spot,Position,37,6,xxx
142.50792926282375,369.2634997323988,80.26952240143376,um,Spot,Position,38,6,xxx
139.3733438483239,371.7739955411811,78.840847990937,um,Spot,Position,39,6,xxx
136.12081124064858,373.92258538889644,77.04694985041866,um,Spot,Position,40,6,xxx
135.92040835853552,373.44596236441214,74.87406453801623,um,Spot,Position,41,6,xxx
135.72392648306985,373.0917387700465,72.88979752153534,um,Spot,Position,42,6,xxx
135.54312863419366,373.2271128961555,71.66000368874063,um,Spot,Position,43,6,xxx
135.54633111024597,373.22943601814393,70.81300882383647,um,Spot,Position,44,6,xxx
136.28553488601224,372.69955512364993,71.49720983049451,um,Spot,Position,45,6,xxx
136.56203916108055,372.3511256047562,73.1681679746896,um,Spot,Position,46,6,xxx
137.46855869720022,372.71932734689364,73.29239132096106,um,Spot,Position,47,6,xxx
138.28166030962896,372.0574210939214,71.03499907937228,um,Spot,Position,48,6,xxx
140.43181776901844,372.4488977918286,69.46576959364383,um,Spot,Position,49,6,xxx
143.18168999815992,373.5861408958583,68.87192859981558,um,Spot,Position,50,6,xxx
143.75982929468853,372.94982062469114,68.18008590274688,um,Spot,Position,51,6,xxx
