Position X,Position Y,Position Z,Unit,TimePointID,TrackID
194.8868137793,159.4825889079,93.3111693927,um,62,6
322.1441730284,15.3756573969,79.7159786861,um,1,7
322.1920443993,11.8626170463,80.8346458844,um,2,7
320.2132485753,8.2912763136,82.0434114599,um,3,7
322.5306033547,7.7465405722,80.7474032187,um,4,7
324.9798310491,4.9485917593,76.2983679982,um,5,7
325.8850281626,4.5653584913,75.9628455265,um,6,7
327.9925901382,4.3608552271,74.4485283968,um,7,7
332.1511831733,0.3970317722,71.5542529364,um,8,7
246.7444635448,113.7408431095,50.3141735118,um,1,8
249.0924160253,116.3808208768,47.9010328998,um,2,8
249.0844385875,116.3957379128,47.9110326086,um,3,8
249.3575713221,118.2939939593,48.3321206719,um,4,8
249.2230757866,118.8553633212,48.8170664853,um,5,8
247.2193807898,121.4536277552,49.6376172452,um,6,8
247.4444083385,122.3165830906,48.2390509957,um,7,8
247.5265496399,122.4472124479,48.0053640825,um,8,8
246.5460944229,120.6065292572,45.4712434676,um,9,8
246.5955356649,120.5786951618,45.4515560571,um,10,8
246.0559535424,120.0283518783,44.042764987,um,11,8
246.2663294861,120.9302414197,44.1585685776,um,12,8
246.3734737627,121.6080656808,44.1020035371,um,13,8
247.0405908533,122.4788960449,46.1137495795,um,14,8
246.1029020791,123.7966751819,47.4985663584,um,15,8
247.8502292484,124.5909101408,49.3801881271,um,16,8
247.3667565467,125.0640933372,49.3565657889,um,17,8
247.0333845714,125.6947667601,49.1570809062,um,18,8
247.6254921996,126.3460210456,48.153837096,um,19,8
248.1513060344,127.2091814834,48.7314413785,um,20,8
248.0862356793,127.0518078087,48.8965511346,um,21,8
247.9455505922,127.5459989448,49.7894828513,um,22,8
246.8967029685,127.6020409253,49.3653107958,um,23,8
245.6565704313,127.6942569985,49.1095960555,um,24,8
245.0951852452,128.2594989393,48.6610776606,um,25,8
245.4413002681,130.4109959544,48.0147523632,um,26,8
244.7261423071,132.5137577499,46.3119811704,um,27,8
244.1101690289,133.0158695966,46.7498979705,um,28,8
243.145893722,134.2405047182,47.6931816705,um,29,8
