Position X,Position Y,Position Z,Unit,TimePointID,TrackID
129.0819541717,189.8183642629,48.5153385154,um,61,1
128.4542024444,190.7716057219,49.7565289151,um,62,1
375.7624539229,344.2920484647,98.3592637934,um,1,2
375.5798428691,344.4212738555,98.7578687041,um,2,2
375.1186955352,343.4245787668,98.9499996303,um,3,2
375.0334020612,343.6494824817,97.5191358436,um,4,2
374.5168089265,342.4907465426,98.1138625352,um,5,2
374.2625296666,341.9093450834,98.4159876462,um,6,2
368.4818245605,342.1138104553,92.395263837,um,8,3
367.8282391644,342.1498361213,90.9598418509,um,9,3
368.9427910877,341.5001237776,90.5270370918,um,10,3
370.7641750082,343.352639063,92.5142747703,um,11,3
80.9362837077,227.2034302086,72.6365161715,um,1,4
80.9767215214,227.1782724739,72.5600466719,um,2,4
81.0231208611,227.1142351082,72.4178767953,um,3,4
81.0290823871,227.0753554771,72.3521764182,um,4,4
79.4321352567,230.2443753668,75.2433394274,um,5,4
76.2316170781,236.6256147363,81.0986658647,um,6,4
75.8804167483,238.9147280327,82.759941152,um,7,4
77.2397122675,241.5669733518,80.7843926359,um,8,4
78.3918357044,243.8409991101,78.9676286759,um,9,4
78.1293388644,244.0393585086,78.7886880677,um,10,4
76.170623681,244.8672683601,77.7625009214,um,11,4
72.8679343655,243.4177700434,80.2252622624,um,12,4
70.8212931509,241.1844760279,82.6292952549,um,13,4
73.7988443394,235.8159992176,84.7984148533,um,14,4
67.9861483473,234.4612298744,87.2193718824,um,15,4
66.4434137783,235.5679461156,89.5610211445,um,16,4
66.4106833613,236.8082988455,88.1896922785,um,17,4
66.4617631578,237.9846259231,85.9597709616,um,18,4
62.9337380293,244.0518194923,88.5279540211,um,19,4
60.1610794461,246.1807143733,86.6925367103,um,20,4
62.4613327658,246.4723275475,83.5283090857,um,21,4
62.5865023725,246.5153206757,83.7347186986,um,22,4
62.2958397445,248.2620218433,84.7353073546,um,23,4
62.3573284414,249.3781062747,83.3586667544,um,24,4
63.0671426217,249.2632844891,83.9470880246,um,25,4
67.3277833703,248.6123282875,87.7976371639,um,26,4
69.5604148565,247.9021029847,89.2484778419,um,27,4
69.770064885,246.7049116425,89.4701030625,um,28,4
71.7338136414,248.8478935351,88.645039422,um,29,4
72.174525948,250.1724387999,87.8720439624,um,30,4
72.2552923622,250.6608877935,87.8660207679,um,31,4
72.497517428,250.9183574093,88.4330794213,um,32,4
72.9942315312,251.5643256377,89.5423857003,um,33,4
72.7415094463,250.3920603033,86.6395449519,um,34,4
71.9282492343,249.6368806412,86.8595470159,um,35,4
72.1633470611,249.3981924448,86.7265112284,um,36,4
73.0578906389,250.3272355091,83.7882889643,um,37,4
74.841527209,250.1902761851,83.4930957088,um,38,4
76.4419994837,248.8992272023,84.1296477063,um,39,4
74.6248170373,240.3827148424,86.648275202,um,40,4
74.8891831138,238.7317460946,84.1555541161,um,41,4
74.3016089024,237.6747692657,82.3229099465,um,42,4
74.653212506,238.5850827566,82.2583542829,um,43,4
74.7544008886,239.4933051811,81.9472104843,um,44,4
75.2602648186,239.3998546455,83.697550724,um,45,4
76.1770934413,238.2049355697,86.662945344,um,46,4
76.7717969294,239.4766442111,84.9991371708,um,47,4
76.350586387,239.3503265084,84.6229590844,um,48,4
75.7270768308,239.4357534808,84.5891890804,um,49,4
76.1220109624,243.3273976657,85.3926452198,um,50,4
76.5169450939,247.2190418505,86.1961013592,um,51,4
88.8785965781,245.838124843,84.7125074727,um,52,4
89.1035838746,246.5380251108,83.2567259059,um,53,4
88.6829125262,248.5936885027,74.354933912,um,54,4
88.8636760823,249.3652610264,74.7101126041,um,55,4
88.2016997599,249.4647716907,74.2984694197,um,56,4
87.885300356,250.862283955,74.3148570057,um,57,4
87.9736631507,251.2105010516,74.5638220707,um,58,4
86.4016909933,253.3896211495,73.6255841596,um,59,4
86.8591488957,251.47775155,72.5339641536,um,60,4
87.9570851148,250.9532075789,70.3451450706,um,61,4
85.5554234141,252.575105154,69.8727360513,um,62,4
